name,genres,popularity,match_score,refined_match
Ben L'Oncle Soul,['indie soul'],53,0.16587677512342727,0.21141801470835128
JMSN,[],66,0.24770719164265798,0.47274505255592386
Unjaps,['afro soul'],71,0.12179777406925361,0.21141801470835128
Moon Soul,[],54,0.24770719164265798,0.47274505255592386
Olive Jones,[],60,0.24770719164265798,0.47274505255592386
James Blake,[],72,0.24770719164265798,0.47274505255592386
Re:um,[],57,0.24770719164265798,0.47274505255592386
Baby Rose,['alternative r&b'],55,0.1805697754748185,0.21141801470835128
Aaron Childs,['retro soul'],52,0.1805697754748185,0.21141801470835128
Octave Lissner,[],45,0.24770719164265798,0.47274505255592386
Sedric Perry,['retro soul'],49,0.1805697754748185,0.21141801470835128
SAULT,[],66,0.24770719164265798,0.47274505255592386
Two Another,['indie soul'],57,0.16587677512342727,0.21141801470835128
Gizmo Varillas,[],55,0.24770719164265798,0.47274505255592386
Stefan Sands,['retro soul'],52,0.1805697754748185,0.21141801470835128
TOINE,[],46,0.24770719164265798,0.47274505255592386
Leven Kali,[],61,0.24770719164265798,0.47274505255592386
Jordan Lee,[],54,0.24770719164265798,0.47274505255592386
Jungle,[],74,0.24770719164265798,0.47274505255592386
Σtella,[],60,0.24770719164265798,0.47274505255592386
Otis Kane,"['retro soul', 'indie r&b']",56,0.1373266431794511,0.15758168418530794
Arlo Parks,[],63,0.24770719164265798,0.47274505255592386
Richard Cejer,[],46,0.24770719164265798,0.47274505255592386
Flo Naegeli,[],50,0.24770719164265798,0.47274505255592386
WAYNE SNOW,[],56,0.24770719164265798,0.47274505255592386
Benny Sings,[],60,0.24770719164265798,0.47274505255592386
Jordan Rakei,"['indie soul', 'neo soul']",60,0.1674433117936619,0.15758168418530794
Charlotte Day Wilson,['alternative r&b'],65,0.1805697754748185,0.21141801470835128
m. demian,[],46,0.24770719164265798,0.47274505255592386
RUBII,[],63,0.24770719164265798,0.47274505255592386
Maribou State,[],66,0.24770719164265798,0.47274505255592386
Darius,"['french house', 'indie soul', 'nu disco']",61,0.1666578928463791,0.1311158867086386
DRAMA,['indie soul'],57,0.16587677512342727,0.21141801470835128
Redinho,[],58,0.24770719164265798,0.47274505255592386
Holly Walker,[],62,0.24770719164265798,0.47274505255592386
Free Nationals,[],60,0.24770719164265798,0.47274505255592386
Will Heard,[],59,0.24770719164265798,0.47274505255592386
